Unique_Visit_Identifier,Country_of_Visit,Country_of_Visit_IS03,Country_of_Visit_Region_World_Bank,Country_of_Visit_Borders_China,Visit_Arrival_Date,Visit_End_Date,Visit_Year,Multilateral_Summit,Multilateral_Summit_Type,Overall_Trip_Number,First_Visit_as_President,Visit_Number_to_Country_of_Visit,State_Visit,Head_of_State_Meeting,Capital_City_Visit,Locations_Visited,Geocoded_Locations,Visit_Sources_URLs
10013,Kyrgyzstan,KGZ,Europe and Central Asia,1,9/10/13,9/13/13,2013,1,SCO,3,1,1,1,1,1,Bishkek,"42.8761424, 74.6036724",https://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpfwzysiesgjtfhshzzfh_665686/t1076342.shtml|https://us.china-embassy.gov.cn/eng/unshown/xijinpingfangwenzhongyawuguobingchuxiG20fenghui/201309/t20130906_5096683.htm|https://www.fmprc.gov.cn/mfa_eng/gjhdq_665435/2675_665437/3185_664332/
10014,Indonesia,IDN,East Asia and Pacific,0,10/2/13,10/2/13,2013,0,0,4,1,1,1,1,1,Jakarta,"-6.1754049, 106.827168",https://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpfwynmlxycx21apec_665682/t1084886.shtml|https://www.fmprc.gov.cn/eng/gjhdq_665435/2675_665437/2716_663436/2718_663440/202406/t20240607_11408247.html|https://www.chinadaily.com.cn/china/2013xiapec/2013-10/02/content_17007891.htm
10015,Malaysia,MYS,East Asia and Pacific,0,10/3/13,10/5/13,2013,0,0,4,1,1,1,0,1,Kuala Lumpur,"3.1516964, 101.6942371",http://www.chinadaily.com.cn/china/2013xiapec/2013-10/04/content_17009806.htm|http://pk.china-embassy.gov.cn/eng/zgxw/201310/t20131006_1222379.htm|https://www.fmprc.gov.cn/eng/gjhdq_665435/2675_665437/2716_663436/2718_663440/202406/t20240607_11408247.html
10016,Indonesia,IDN,East Asia and Pacific,0,10/5/13,10/8/13,2013,1,APEC,4,0,2,0,1,0,Denpasar,"-8.6653349, 115.2176191",https://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpfwynmlxycx21apec_665682/t1085198.shtml|https://www.fmprc.gov.cn/eng/gjhdq_665435/2675_665437/2716_663436/2718_663440/202406/t20240607_11408247.html|https://www.fmprc.gov.cn/eng/gjhdq_665435/2675_665437/2716_663436/2718_663440/202406/t20240607_11408253.html|https://tz.china-embassy.gov.cn/eng/chinanews/201310/t20131011_6084050.htm
10017,Russia,RUS,Europe and Central Asia,1,2/6/14,2/8/14,2014,0,0,5,0,3,0,1,0,Sochi,"43.5854823, 39.723109",https://www.scmp.com/news/china/article/1422829/embattled-putin-gives-good-friend-xi-jinping-warm-welcome-sochii|https://dk.china-embassy.gov.cn/eng//zgxw/201402/t20140211_2553636.htm|https://auckland.china-consulate.gov.cn/eng/chinanews/201402/t20140211_174362.htm|http://en.kremlin.ru/events/president/news/20173
10018,Netherlands,NLD,Europe and Central Asia,0,3/22/14,3/25/14,2014,0,0,6,1,1,1,1,1,Amsterdam; The Hague,"52.3730796, 4.8924534; 52.0799838, 4.3113461",https://www.fmprc.gov.cn/ce/cedk/eng/ztbd/xjpfo/t1140118.htm|https://nl.china-embassy.gov.cn/eng/zgyw/201403/t20140324_2655389.htm|https://www.bbc.com/news/world-asia-26695489|https://il.china-embassy.gov.cn/eng/zgxw/201404/t20140402_1872242.htm
10019,France,FRA,Europe and Central Asia,0,3/25/14,3/27/14,2014,0,0,6,1,1,1,1,1,Paris; Lyon,"48.8588897, 2.320041; 45.7578137, 4.8320114",https://www.fmprc.gov.cn/ce/cedk/eng/ztbd/xjpfo/t1141045.htm|https://nl.china-embassy.gov.cn/eng/zgyw/201403/t20140324_2655389.htm|https://perth.china-consulate.gov.cn/eng/jbwzlm/xw/201403/t20140326_257584.htm|https://dk.china-embassy.gov.cn/eng//ztbd/xjpfo/201404/t20140408_3157909.htm|https://www.fmprc.gov.cn/mfa_eng/gjhdq_665435/3265_665445/3291_664540/3293_664544/202406/t20240611_11420739.html|https://il.china-embassy.gov.cn/eng/zgxw/201404/t20140402_1872242.htm
10020,Germany,DEU,Europe and Central Asia,0,3/27/14,3/29/14,2014,0,0,6,1,1,1,1,1,Berlin; Duisburg,"52.5173885, 13.3951309; 51.434999, 6.759562",https://www.fmprc.gov.cn/ce/cedk/eng/ztbd/xjpfo/t1143120.htm|https://nl.china-embassy.gov.cn/eng/zgyw/201403/t20140324_2655389.htm|https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3296_664550/3298_664554/202406/t20240611_11421349.html|https://www.geas.fu-berlin.de/events/reports_events/Xi.html|https://news.cgtn.com/news/7945444d32517a6333566d54/index.html|https://il.china-embassy.gov.cn/eng/zgxw/201404/t20140402_1872242.htm
10021,Belgium,BEL,Europe and Central Asia,0,3/30/14,4/1/14,2014,0,0,6,1,1,1,1,1,Brussels,"50.8467372, 4.352493",https://www.fmprc.gov.cn/ce/cedk/eng/ztbd/xjpfo/t1142997.htm|https://www.bbc.com/news/world-asia-26695489|https://www.fmprc.gov.cn/mfa_eng/gjhdq_665435/3265_665445/3276_664440/3278_664444/202406/t20240611_11419827.html|https://il.china-embassy.gov.cn/eng/zgxw/201404/t20140402_1872242.htm|https://il.china-embassy.gov.cn/eng/zgxw/201404/t20140401_1872226.htm
10022,South Korea,KOR,East Asia and Pacific,0,7/3/14,7/4/14,2014,0,0,7,1,1,1,1,1,Seoul,"37.5666791, 126.9782914",https://www.csis.org/analysis/president-xi-jinpings-state-visit-republic-korea|https://www.fmprc.gov.cn/mfa_eng/gjhdq_665435/2675_665437/2767_663538/2769_663542/201407/t20140708_522363.html|https://www.theguardian.com/world/2014/jul/03/china-snubs-north-korea-with-leaders-visit-to-south-korea|http://www.korea.net/NewsFocus/Society/view?articleId=120421|http://www.korea.net/NewsFocus/Society/view?articleId=120421|https://www.nytimes.com/2014/07/03/world/asia/chinas-president-to-visit-south-korea.html
10023,Brazil,BRA,Latin America and Caribbean,0,7/14/14,7/16/14,2014,1,BRICS,8,1,1,1,1,1,Brasilia; Fortaleza,"-10.3333333, -53.2; -3.7304512, -38.5217989",https://www1.folha.uol.com.br/internacional/en/business/2014/06/1472306-brazil-to-use-chinese-visit-for-business-deals.shtml|https://web.archive.org/web/20181029232408/http://carnegieendowment.org/2014/09/05/xi-jinping-s-july-2014-trip-to-latin-america|https://www.fmprc.gov.cn/eng/gjhdq_665435/3447_665449/3473_665008/3475_665012/202406/t20240612_11428427.html|https://www.fmprc.gov.cn/eng/gjhdq_665435/3447_665449/3473_665008/3475_665012/202406/t20240612_11428422.html|https://en.people.cn/n/2014/0718/c90883-8757391-2.html|https://www.chinadaily.com.cn/world/2014xibricssummit/2014-07/19/content_17846664.htm
10024,Argentina,ARG,Latin America and Caribbean,0,7/19/14,7/20/14,2014,0,0,8,1,1,1,1,1,"Buenos Aires; Luján, Buenos Aires Province","-34.6095579, -58.3887904; -34.5661734, -59.1152598",https://www.chinadaily.com.cn/world/2014xibricssummit/2014-07/19/content_17846664.htm|https://usa.chinadaily.com.cn/2014-07/21/content_17860905.htm|https://www.fmprc.gov.cn/mfa_eng/gjhdq_665435/3447_665449/3453_664968/3455_664972/202406/t20240612_11427395.html|https://www.chinadaily.com.cn/world/2014xibricssummit/2014-07/20/content_17856422.htm|https://espanol.cgtn.com/news/2025-05-15/1922869345620606978/index.html
10025,Venezuela,VEN,Latin America and Caribbean,0,7/20/14,7/21/14,2014,0,0,8,1,1,1,1,1,Caracas,"10.5060934, -66.9146008",https://usa.chinadaily.com.cn/2014-07/21/content_17860905.htm|https://www.fmprc.gov.cn/eng/gjhdq_665435/3376_665447/cr_665018/a_665022/201407/t20140722_595101.html|https://www.fmprc.gov.cn/eng/gjhdq_665435/3376_665447/3488_665048/3490_665052/201407/t20140724_595636.html|https://www.fmprc.gov.cn/eng/gjhdq_665435/3447_665449/3538_665158/3540_665162/202406/t20240612_11429083.html|https://www.fmprc.gov.cn/eng/gjhdq_665435/3447_665449/3538_665158/3540_665162/202406/t20240612_11429092.html
10026,Cuba,CUB,Latin America and Caribbean,0,7/21/14,7/23/14,2014,0,0,8,1,1,1,1,1,Havana; Santiago de Cuba,"23.135305, -82.3589631; 20.0214263, -75.8294928",https://www.fmprc.gov.cn/eng/gjhdq_665435/3376_665447/3488_665048/3490_665052/201407/t20140724_595636.html|https://www.reuters.com/article/us-cuba-china/chinese-president-ends-regional-tour-in-cradle-of-cuban-revolution-idUSKBN0FS22R20140723|https://en.people.cn/n/2014/0724/c90883-8760487.html
10027,Mongolia,MNG,East Asia and Pacific,1,8/21/14,8/22/14,2014,0,0,9,1,1,1,1,1,Ulaanbaatar,"47.9184676, 106.9177016",https://www.fmprc.gov.cn/mfa_eng/gjhdq_665435/2675_665437/2742_663488/2744_663492/201408/t20140825_518226.html|http://eg.china-embassy.gov.cn/eng//rdwt/20140821/201408/t20140828_7243969.htm|https://www.fmprc.gov.cn/eng/gjhdq_665435/2675_665437/2742_663488/2744_663492/202406/t20240607_11410994.html|https://www.fmprc.gov.cn/eng/gjhdq_665435/2675_665437/2742_663488/2744_663492/202406/t20240607_11410999.html|https://www.mfa.gov.cn/eng/wjb/zzjg_663340/xws_665282/xgxw_665284/202406/t20240606_11405660.html
10028,Tajikistan,TJK,Europe and Central Asia,0,9/11/14,9/14/14,2014,1,SCO,10,1,1,1,1,1,Dushanbe,"38.5762709, 68.7863573",https://www.fmprc.gov.cn/mfa_eng/topics_665678/zjpcxshzzcygyslshdsschybdtjkstmedfsllkydjxgsfw/t1191032.shtml|https://english.www.gov.cn/news/top_news/2014/09/30/content_281474990836394.htm|https://en.people.cn/n/2014/0912/c90883-8781818.html
10029,Maldives,MDV,South Asia,0,9/14/14,9/16/14,2014,0,0,10,1,1,1,1,1,Malé,"4.1779879, 73.5107387",https://www.fmprc.gov.cn/mfa_eng/topics_665678/zjpcxshzzcygyslshdsschybdtjkstmedfsllkydjxgsfw/t1191505.shtml|https://english.www.gov.cn/news/photos/2014/09/25/content_281474989436041.htm|https://www.fmprc.gov.cn/mfa_eng/gjhdq_665435/2675_665437/2737_663478/2739_663482/202406/t20240607_11410859.html
10030,Sri Lanka,LKA,South Asia,0,9/16/14,9/17/14,2014,0,0,10,1,1,1,1,0,Colombo,"6.9388614, 79.8542005",https://www.fmprc.gov.cn/mfa_eng/topics_665678/zjpcxshzzcygyslshdsschybdtjkstmedfsllkydjxgsfw/t1192334.shtml|https://www.bbc.com/news/world-asia-29217706|https://mfa.gov.lk/sin/chinese-presidents-state-visit-to-sri-lanka-pictorial/|https://thediplomat.com/2014/09/china-courts-sri-lanka/|https://lk.china-embassy.gov.cn/eng/zgxw/201409/t20140919_1424503.htm
10031,India,IND,South Asia,1,9/17/14,9/19/14,2014,0,0,10,1,1,1,1,1,New Delhi; Ahmedabad,"28.6138954, 77.2090057; 23.0215374, 72.5800568",https://www.fmprc.gov.cn/mfa_eng/topics_665678/zjpcxshzzcygyslshdsschybdtjkstmedfsllkydjxgsfw/t1192789.shtml|https://lk.china-embassy.gov.cn/eng/zgxw/201409/t20140919_1424503.htm|https://www.mea.gov.in/incoming-visit-detail.htm?24022/Joint+Statement+between+the+Republic+of+India+and+the+Peoples+Republic+of+China+on+Building+a+Closer+Developmental+Partnership|https://timesofindia.indiatimes.com/india/Chinese-incursion-in-Ladakh-A-little-toothache-can-paralyze-entire-body-Modi-tells-Xi-Jinping/articleshow/42940337.cms
10032,Australia,AUS,East Asia and Pacific,0,11/14/14,11/19/14,2014,1,G20,11,1,1,1,0,1,Canberra; Brisbane; Hobart; Sydney,"-35.2975906, 149.1012676; -27.365991, 152.948963; -42.8825088, 147.3281233; -33.8698439, 151.2082848",https://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpzxcxesgjtldrdjcfhdadlyxxlfjjxgsfwbttpyjjdgldrhw/t1211618.shtml|https://perth.china-consulate.gov.cn/eng//notc/202412/t20241219_11503121.htm|https://www.news.com.au/national/pictures-from-chinese-leader-xi-jinpings-2014-australia-visit-show-how-relationship-has-deteriorated/news-story/6d70292b4f7a79b0b2a561e83f794c67|https://www.theguardian.com/world/2014/nov/17/xi-jinping-says-china-will-always-seek-to-resolve-disputes-peacefully|https://auckland.china-consulate.gov.cn/eng/zt/xijinping/201412/t20141202_230474.htm|https://www.fmprc.gov.cn/eng/gjhdq_665435/2797_665439/3377_664820/3379_664824/202406/t20240612_11429314.html|https://www.fmprc.gov.cn/eng/gjhdq_665435/2797_665439/3377_664820/3379_664824/202406/t20240612_11429309.html
10033,New Zealand,NZL,East Asia and Pacific,0,11/19/14,11/21/14,2014,0,0,11,1,1,1,0,1,Wellington; Auckland; Karaka,"-41.2887953, 174.7772114; -36.852095, 174.7631803; -37.0995979, 174.8789863",https://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpzxcxesgjtldrdjcfhdadlyxxlfjjxgsfwbttpyjjdgldrhw/t1213442.shtml|https://auckland.china-consulate.gov.cn/eng/zt/xijinping/201412/t20141202_230474.htm|https://auckland.china-consulate.gov.cn/eng/zt/xijinping/201412/t20141202_230476.htm|https://www.nzherald.co.nz/nz/president-xi-visit-nearly-20-china-nz-partnerships-signed/C5SU2QRLWGLRALANMAF2SCKB3I/
10034,Fiji,FJI,East Asia and Pacific,0,11/21/14,11/23/14,2014,0,0,11,1,1,1,1,0,Nadi,"-17.7992725, 177.4178549",https://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpzxcxesgjtldrdjcfhdadlyxxlfjjxgsfwbttpyjjdgldrhw/t1214284.shtml|https://nz.china-embassy.gov.cn/eng/zgynagx/201412/t20141203_885321.htm|https://www.abc.net.au/news/2014-11-22/chinese-president-xi-visits-fiji-to-strengthen-economic-ties/5911144|https://www.chinadaily.com.cn/world/2014xiattendg20/2014-11/22/content_18957772.htm|https://www.ecns.cn/2014/11-23/143855.shtml
10035,Pakistan,PAK,South Asia,1,4/20/15,4/21/15,2015,0,0,12,1,1,1,1,1,Islamabad,"33.6938118, 73.0651511",https://en.wikipedia.org/wiki/State_visit_by_Xi_Jinping_to_Pakistan|https://www.fmprc.gov.cn/eng/zy/jj/2015zt/xjpdbjstjxgsfwbfydnxycxyfldrhyhwlhy60znjnhd/202406/t20240606_11381313.html|https://www.fmprc.gov.cn/eng/zy/jj/2015zt/xjpdbjstjxgsfwbfydnxycxyfldrhyhwlhy60znjnhd/202406/t20240606_11381321.html
10036,Indonesia,IDN,East Asia and Pacific,0,4/22/15,4/24/15,2015,0,0,12,0,3,0,1,1,Jakarta; Bandung,"-6.1754049, 106.827168; -6.9218457, 107.6070833",http://id.chinaembassy.gov.cn/eng/zgyyn/sbwl/201603/t20160304_2346192.htm|https://www.mfa.gov.cn/eng/zy/jj/2015zt/xjpdbjstjxgsfwbfydnxycxyfldrhyhwlhy60znjnhd/202406/t20240606_11381323.html|https://id.china-embassy.gov.cn/eng/ztbd/ddrr22/201603/t20160304_2345359.htm|https://www.mfa.gov.cn/eng/zy/jj/2015zt/xjpdbjstjxgsfwbfydnxycxyfldrhyhwlhy60znjnhd/202406/t20240606_11381332.html
10037,Kazakhstan,KAZ,Europe and Central Asia,1,5/7/15,5/7/15,2015,0,0,13,0,2,0,1,1,Astana,"51.1282205, 71.4306682",http://zm.chineseembassy.org/eng/zgxw/t1262793.htm|https://www.fmprc.gov.cn/eng/zy/jj/2015zt/xjpcxelsjnwgzzsl70znqdbfelshskstbels/202406/t20240606_11381340.html|https://www.fmprc.gov.cn/eng/zy/jj/2015zt/xjpcxelsjnwgzzsl70znqdbfelshskstbels/202406/t20240606_11381341.html
10038,Russia,RUS,Europe and Central Asia,1,5/8/15,5/9/15,2015,0,0,13,0,4,0,1,1,Moscow,"55.625578, 37.6063916",http://www.china-un.ch/eng/wjyw/t1263256.htm|https://losangeles.china-consulate.gov.cn/eng/topnews/201505/t20150505_4285326.htm|https://www.fmprc.gov.cn/mfa_eng//zy/jj/2015zt/xjpcxelsjnwgzzsl70znqdbfelshskstbels/202406/t20240606_11381342.html|https://www.mfa.gov.cn/eng/zy/jj/2015zt/xjpcxelsjnwgzzsl70znqdbfelshskstbels/202406/t20240606_11381346.html
10039,Belarus,BLR,Europe and Central Asia,0,5/10/15,5/12/15,2015,0,0,13,1,1,1,1,1,Minsk,"53.9024716, 27.5618225",http://www.china-un.ch/eng/wjyw/t1263265.htm|https://www.fmprc.gov.cn/eng/zy/jj/2015zt/xjpcxelsjnwgzzsl70znqdbfelshskstbels/202406/t20240606_11381340.html|https://losangeles.china-consulate.gov.cn/eng/topnews/201505/t20150505_4285326.htm|https://www.fmprc.gov.cn/eng/zy/jj/2015zt/xjpcxelsjnwgzzsl70znqdbfelshskstbels/202406/t20240606_11381348.html|https://www.mfa.gov.cn/eng/zy/jj/2015zt/xjpcxelsjnwgzzsl70znqdbfelshskstbels/202406/t20240606_11381352.html|https://www.fmprc.gov.cn/eng/zy/jj/2015zt/xjpcxelsjnwgzzsl70znqdbfelshskstbels/202406/t20240606_11381349.html
10040,Russia,RUS,Europe and Central Asia,1,7/8/15,7/11/15,2015,1,BRICS; SCO,14,0,5,0,1,0,Ufa,"54.7261409, 55.947499",https://www.fmprc.gov.cn/mfa_eng/topics_665678/2015zt/xjpcxjzgjldrdqchwhshhzzzcygyslshdswchy/201507/t20150710_705090.html|https://www.fmprc.gov.cn/eng/topics_665678/2015zt/xjpcxjzgjldrdqchwhshhzzzcygyslshdswchy/201507/t20150715_705124.html|http://en.kremlin.ru/events/president/news/49884|https://archive.nytimes.com/sinosphere.blogs.nytimes.com/2015/07/07/xi-jinping-of-china-makes-cartoon-appearance-before-meetings-in-russia/|https://www.mfa.gov.cn/eng/zy/jj/2015zt/xjpcxjzgjldrdqchwhshhzzzcygyslshdswchy/202406/t20240606_11381422.html|https://www.mfa.gov.cn/eng/zy/jj/2015zt/xjpcxjzgjldrdqchwhshhzzzcygyslshdswchy/202406/t20240606_11381438.html|https://www.xinhuanet.com//english/2015-07/09/c_134398348.htm
10041,United States,USA,North America,0,9/22/15,9/28/15,2015,0,0,15,0,2,1,1,1,"Washington, D.C.; Seattle, Washington; Everett, Washington; Redmond, Washington; Tacoma, Washington; New York, New York","38.8950982, -77.0363849; 47.6038321, -122.330062; 47.9793437, -122.2127011; 47.6694141, -122.1238767; 47.2455013, -122.438329; 40.7127281, -74.0060152",https://en.wikipedia.org/wiki/2015_visit_by_Xi_Jinping_to_the_United_States|https://history.state.gov/departmenthistory/visits/china|http://www.seattletimes.com/business/chinas-president-xi-arriving-this-morning/|https://obamawhitehouse.archives.gov/the-press-office/2015/09/25/fact-sheet-president-xi-jinpings-state-visit-united-states|https://www.fmprc.gov.cn/eng/zy/jj/2015zt/xjpdmgjxgsfwbcxlhgcl70znxlfh/202406/t20240606_11381560.html|https://www.mfa.gov.cn/eng/zy/jj/2015zt/xjpdmgjxgsfwbcxlhgcl70znxlfh/202406/t20240606_11381551.html|https://www.mfa.gov.cn/eng/zy/jj/2015zt/xjpdmgjxgsfwbcxlhgcl70znxlfh/202406/t20240606_11381560.html|https://www.bbc.com/news/world-asia-china-34322054|https://boeing.mediaroom.com/2015-09-23-Boeing-Hosts-China-President-Xi-Jinping-Announces-Airplane-Sales-Expanded-Collaboration-with-Chinas-Aviation-Industry|http://www.seattletimes.com/business/technology/china-us-tech-leaders-show-divergent-views-on-internet-interests/|http://qz.com/509683/uber-google-and-women-were-conspicuously-absent-from-the-us-china-tech-meet/
10042,United Kingdom,GBR,Europe and Central Asia,0,10/19/15,10/24/15,2015,0,0,16,1,1,1,1,1,"London; Aylesbury, Buckinghamshire, England; Manchester, England","51.5074456, -0.1277653; 51.8161412, -0.8130383; 53.4794892, -2.2451148",https://en.wikipedia.org/wiki/State_visit_by_Xi_Jinping_to_the_United_Kingdom|https://www.bbc.com/news/uk-34571910|https://www.gov.uk/government/news/troops-on-parade-as-uk-welcomes-china-with-spectacular-ceremony|http://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1309000.shtml|https://www.bbc.com/news/uk-34601823|http://news.xinhuanet.com/world/2015-10/23/c_1116915868.htm|https://www.bbc.com/news/uk-england-manchester-34611334
10043,Vietnam,VNM,East Asia and Pacific,1,11/5/15,11/6/15,2015,0,0,17,1,1,1,1,1,Hanoi,"21.0283334, 105.854041",https://www.fmprc.gov.cn/eng/topics_665678/2015zt/xjpdynxjpjxgsfw/201511/t20151110_704844.html|https://www.mfa.gov.cn/mfa_eng/zy/jj/2015zt/xjpdynxjpjxgsfw/202406/t20240606_11381296.html|https://www.fmprc.gov.cn/eng./zy/jj/2015zt/xjpdynxjpjxgsfw/202406/t20240606_11381302.html|https://www.fmprc.gov.cn/eng./zy/jj/2015zt/xjpdynxjpjxgsfw/202406/t20240606_11381300.html|https://www.fmprc.gov.cn/eng./zy/jj/2015zt/xjpdynxjpjxgsfw/202406/t20240606_11381299.html
10044,Singapore,SGP,East Asia and Pacific,0,11/6/15,11/7/15,2015,0,0,17,1,1,1,1,1,Singapore,"1.357107, 103.8194992",https://www.fmprc.gov.cn/eng/topics_665678/2015zt/xjpdynxjpjxgsfw/201511/t20151110_704858.html|https://www.fmprc.gov.cn/eng/topics_665678/2015zt/xjpdynxjpjxgsfw/201511/t20151110_704844.html|https://amti.csis.org/xis-vietnam-visit-more-symbol-than-substance/|https://www.mfa.gov.cn/mfa_eng/zy/jj/2015zt/xjpdynxjpjxgsfw/202406/t20240606_11381296.html|https://www.fmprc.gov.cn/eng./zy/jj/2015zt/xjpdynxjpjxgsfw/202406/t20240606_11381303.html
